"","Series.Code","year","Australia","Argentina","Austria","Belgium","Brazil","Canada","China","Colombia","Ecuador","Egypt, Arab Rep.","Finland","France","Germany","Hungary","Indonesia","India","Iran, Islamic Rep.","Italy","Japan","Malaysia","Mexico","Morocco","Pakistan","Philippines","Poland","Portugal","Romania","Russian Federation","Serbia","Slovenia","Slovak Republic","South Africa","Korea, Rep.","Spain","Turkiye","Sweden","Thailand","United Kingdom","United States","Ukraine","Uzbekistan"
"1","EG.ELC.ACCS.ZS",2000,1,0.908062569183131,1,1,0.877722001035402,1,0.935065934332004,0.895345034497073,0.863343849385051,0.949852794374747,1,1,1,1,0.701297542408139,0.1,0.95421351497165,1,1,0.980463838650289,0.956549324188576,0.33647448395783,0.352678931676591,0.447546187855781,1,1,1,1,1,1,1,0.395671661128936,1,1,1,1,0.609724406006958,1,1,1,0.991132009317508
"2","EG.ELC.ACCS.RU.ZS",2000,1,0.859674609818436,1,1,0.637030167070005,1,0.934149214588894,0.762839126387518,0.793751782566812,0.948296566233964,1,1,1,1,0.711262252611577,0.251892919190905,0.917197315197476,1,1,0.979854137508091,0.912081046469632,0.1,0.415665440529124,0.456905716413076,1,1,1,1,1,1,1,0.356366947049729,1,1,1,1,0.630768584517254,1,1,1,0.990560788157447
"3","EG.ELC.ACCS.UR.ZS",2000,1,0.778496464101644,1,1,0.938597626752966,1,1,0.962295097686683,0.948675056933959,0.968579168164929,1,1,1,1,0.717413879899315,0.293096008629988,1,1,1,0.963928083423226,0.964225338607215,0.904480882176675,0.605818051060766,0.359071317271966,1,1,1,1,1,1,1,0.1,0.999646170442284,1,1,1,0.993715929521755,1,1,1,0.993452235406927
"4","NV.AGR.TOTL.KD.ZG",2000,0.780009973969815,0.535306273323124,0.48343104241095,0.772990184193528,0.662390164877148,0.641141775832951,0.651211566356346,0.694264415152635,0.608913722719418,0.690069072295606,0.824520156182704,0.559431087380666,0.474783231820203,0.298614180062479,0.638594348231115,0.585079558112184,0.683627408592346,0.571458516908612,0.796159720097429,0.756792282817437,0.609904745116516,0.241026200274074,0.75779775486242,0.681101876387486,0.581403659505847,0.442077093159917,0.1,0.944810431101076,0.280301088232042,0.647303107234462,1,0.718344150845987,0.593665078522324,0.804416211285532,0.766729507023519,0.696198565853503,0.777768955293518,0.854226655944194,0.975784991564831,0.927830572765165,0.674721085953561
"5","NV.AGR.TOTL.CD",2000,0.163177967954843,0.164983681550501,0.113960023575363,0.111598029030803,0.255533569641668,0.176546368707872,1,0.139578877566619,0.111794075544817,0.176215947387939,0.116357278768225,0.242939255035669,0.195839093841178,0.109289553418479,0.228811543062644,0.611351850385939,0.147914518975456,0.246697890099233,0.480314903196111,0.138404639065813,0.216887335721964,0.120890914736841,0.204126235879179,0.156678120715731,0.124798173424499,0.116185505019574,0.117988323313376,0.173295816715701,0.103419532423572,0.10063921997659,0.1,0.117605183659123,0.210304875931297,0.211232805060841,0.237174184036637,0.123385308192395,0.152000827806186,0.166801982013262,0.696222876570228,0.120392102932944,0.118457455363337
"6","NV.AGR.TOTL.KD",2000,0.142966530999138,0.136605442483935,0.105823297264981,0.103573113479468,0.177241049825573,0.137262225338806,1,0.12001354626744,0.108197746381526,0.140076548130224,0.106394138328142,0.159621215988949,0.137447414522005,0.105387072960588,0.218005633559917,0.494905500700848,0.142436018003249,0.16659975336936,0.21584771806192,0.127995235258509,0.149137366524289,0.109188362465882,0.177735449952844,0.13647728113033,0.115668713597052,0.105902818805768,0.111330423347654,0.166726878322981,0.102784837664329,0.100402288205226,0.1,0.108649361889658,0.141230186153285,0.150151246400049,0.17116878268133,0.108040977855911,0.148576919530284,0.124475831567978,0.386857729762483,0.111053294047951,0.117136283169199
"7","NV.AGR.TOTL.ZS",2000,0.170589138253526,0.218829511993537,0.125474109898931,0.110965842304103,0.221001282059069,0.139152995006123,0.526554952457109,0.330445821754666,0.548974903158763,0.553085554519815,0.165688140431646,0.139359386618882,0.105387316259799,0.226665505509316,0.557414605914613,0.740035350514869,0.353924649811666,0.153681770153158,0.12149006926751,0.339474794382438,0.177061240248161,0.440392154551769,0.86336149264408,0.503924297042784,0.171016464233168,0.170493876637417,0.408889156031117,0.251823775399429,0.600245064991458,0.169749367788543,0.127413657435195,0.155255867117429,0.19352153551401,0.190058772090805,0.383613610592746,0.13457257173312,0.336421845040782,0.1,0.11018239616998,0.504253397050051,1
"8","EN.ATM.CO2E.KD.GD",2000,0.153105010578657,0.141202830556113,0.112714979204869,0.138215129009477,0.125897730554447,0.164744897496613,0.332438172397492,0.149355876212816,0.158442158133201,0.207634137374982,0.129530647714786,0.107937410232047,0.132120962260136,0.198607207700626,0.2235320605836,0.324440119267651,0.357467483659694,0.119870732019359,0.132956283363835,0.251601033837401,0.162722154789129,0.216727178455067,0.215005314983601,0.178540999487669,0.298419567634249,0.137812415373684,0.258110094887136,0.506594971351074,0.469162080840813,0.166551537805474,0.241480683101832,0.349060152480107,0.193156173439745,0.134138229109449,0.182482349085083,0.1,0.230598290592093,0.118380399376451,0.159940373599039,1,0.929012509544886
"9","EN.ATM.CO2E.PC",2000,0.880602825032951,0.232999594403426,0.430935154217967,0.590209284768779,0.152017160483556,0.831541649989438,0.191357756790103,0.138593576281021,0.150330418537343,0.143954532102109,0.554144773448909,0.349016688909986,0.529388221452676,0.313870558344124,0.130575585022025,0.111247131636783,0.306794131206771,0.41879070131362,0.49417793979289,0.317035984973524,0.246892510933527,0.123336618066747,0.1,0.113052111048424,0.421905438970432,0.3430115776247,0.251081582995521,0.555180987393074,0.336671687453414,0.402831216308232,0.391680273343269,0.347026342035994,0.511925026543957,0.399183819443863,0.224251341066076,0.343603859614762,0.189441935335381,0.480162028968083,1,0.345503500206174,0.299009038875243
"10","EN.ATM.CO2E.KT",2000,0.150755996507714,0.118391257483159,0.107653000119765,0.116048024133568,0.14672875945755,0.178057789341586,0.620508672566986,0.106842241380807,0.101173178830362,0.115632490752907,0.106336102977295,0.156015774299764,0.227431278173042,0.106262681665674,0.141570521777316,0.244236947756311,0.150912212064354,0.165885473168242,0.282470705243809,0.117155592430141,0.156962440572999,0.102864993308767,0.113095550113083,0.108991767440165,0.143932500993705,0.10736087702885,0.111634934658504,0.342026324057022,0.104600548143031,0.1,0.103675752047726,0.142196946159441,0.169066021901421,0.143548210724372,0.131533672263234,0.106051790664211,0.123424522718081,0.180661902670765,1,0.144184008039894,0.11706967387399
